sensor_id,date,ph,turbidity,temperature,conductivity
"sensor-1","2025-11-24",7.201166347992335,2.5808731676226886,15.022791586998087,843.1204270235824
"sensor-2","2025-11-24",6.990152963671129,3.141077119184193,18.05764818355639,1230.4791586998078
"sensor-3","2025-11-24",7.491338432122373,1.938393881453154,19.964340344168285,1530.8168005098798
"sensor-1","2025-12-14",7.2034990560100685,2.634719949653868,15.027564505978587,837.4273568281938
"sensor-2","2025-12-14",6.994738829452474,3.1155443675267485,17.899150409062234,1241.981969792321
"sensor-3","2025-12-14",7.485852737570796,1.9242857142857168,19.963555695405926,1528.4280302076759
"sensor-1","2025-12-15",7.189518332135142,2.6058878504672904,15.014867002156732,848.2385621854799
"sensor-2","2025-12-15",7.003860531991372,3.1228037383177543,17.921603163191946,1227.7061250898641
"sensor-3","2025-12-15",7.50352264557873,1.886024442846871,19.947562904385375,1527.708324946081
"sensor-1","2025-12-16",7.206745770160382,2.5932014941771135,15.048690397714845,837.9383564051863
"sensor-2","2025-12-16",6.996486486486485,3.1306042627993906,18.019709953856303,1233.1186684245192
"sensor-3","2025-12-16",7.490619644034294,1.9393408042188511,19.918349813227888,1537.8781212920248
"sensor-1","2025-12-23",7.185592920353976,2.6175132743362814,15.07646902654868,852.8106017699115
"sensor-2","2025-12-23",6.979070796460178,3.1127079646017712,18.03355752212389,1234.1574955752224
"sensor-3","2025-12-23",7.478469026548671,1.8947168141592898,20.044327433628307,1541.1307876106184
