sensor_id,year,week,ph,turbidity,temperature,conductivity
"sensor-1",2025,48,7.201166347992335,2.5808731676226886,15.022791586998087,843.1204270235824
"sensor-2",2025,48,6.990152963671129,3.141077119184193,18.05764818355639,1230.4791586998078
"sensor-3",2025,48,7.491338432122373,1.938393881453154,19.964340344168285,1530.8168005098798
"sensor-1",2025,50,7.2034990560100685,2.634719949653868,15.027564505978587,837.4273568281938
"sensor-2",2025,50,6.994738829452474,3.1155443675267485,17.899150409062234,1241.981969792321
"sensor-3",2025,50,7.485852737570796,1.9242857142857168,19.963555695405926,1528.4280302076759
"sensor-1",2025,51,7.202712891282408,2.5961713227869456,15.040772467182734,840.349596095593
"sensor-2",2025,51,6.9982127229888835,3.1287781891618915,17.996743520700097,1231.8516122517667
"sensor-3",2025,51,7.493640188488751,1.9268596432177714,19.925188488724366,1535.4974099629778
"sensor-1",2025,52,7.185592920353976,2.6175132743362814,15.07646902654868,852.8106017699115
"sensor-2",2025,52,6.979070796460178,3.1127079646017712,18.03355752212389,1234.1574955752224
"sensor-3",2025,52,7.478469026548671,1.8947168141592898,20.044327433628307,1541.1307876106184
